id,node_type,wiki_url
Benjamin Constant,expanded,https://en.wikipedia.org/wiki/Benjamin_Constant
Benjamin Fondane,expanded,https://en.wikipedia.org/wiki/Benjamin_Fondane
Benjamin Heath Malkin,expanded,https://en.wikipedia.org/wiki/Benjamin_Heath_Malkin
Benjamin Rolland,expanded,https://en.wikipedia.org/wiki/Benjamin_Rolland
Bernardo Guimarães,expanded,https://en.wikipedia.org/wiki/Bernardo_Guimar%C3%A3es
Bertrand Russell,expanded,https://en.wikipedia.org/wiki/Bertrand_Russell
Bettina von Arnim,expanded,https://en.wikipedia.org/wiki/Bettina_von_Arnim
Beulah (Blake),expanded,https://en.wikipedia.org/wiki/Beulah_%28Blake%29
Biologist,expanded,https://en.wikipedia.org/wiki/Biologist
Birth control,expanded,https://en.wikipedia.org/wiki/Birth_control
Blaise Pascal,expanded,https://en.wikipedia.org/wiki/Blaise_Pascal
Blake (monologue),expanded,https://en.wikipedia.org/wiki/Blake_%28monologue%29
Blake Prize for Religious Art,expanded,https://en.wikipedia.org/wiki/Blake_Prize_for_Religious_Art
Blake: Prophet Against Empire,expanded,https://en.wikipedia.org/wiki/Blake%3A_Prophet_Against_Empire
Blake’s Cottage,expanded,https://en.wikipedia.org/wiki/Blake%E2%80%99s_Cottage
Blue flower,expanded,https://en.wikipedia.org/wiki/Blue_flower
Blue plaque,expanded,https://en.wikipedia.org/wiki/Blue_plaque
Bob Dylan,expanded,https://en.wikipedia.org/wiki/Bob_Dylan
Body proportions,expanded,https://en.wikipedia.org/wiki/Body_proportions
Boethius,expanded,https://en.wikipedia.org/wiki/Boethius
Bohemianism,expanded,https://en.wikipedia.org/wiki/Bohemianism
Bonnie Strickland,expanded,https://en.wikipedia.org/wiki/Bonnie_Strickland
Book of Daniel,expanded,https://en.wikipedia.org/wiki/Book_of_Daniel
Book of Job,expanded,https://en.wikipedia.org/wiki/Book_of_Job
Book of Proverbs,expanded,https://en.wikipedia.org/wiki/Book_of_Proverbs
Book of Revelation,expanded,https://en.wikipedia.org/wiki/Book_of_Revelation
Boris Sidis,expanded,https://en.wikipedia.org/wiki/Boris_Sidis
Brahman,expanded,https://en.wikipedia.org/wiki/Brahman
Branko Radičević,expanded,https://en.wikipedia.org/wiki/Branko_Radi%C4%8Devi%C4%87
Brian Catling,expanded,https://en.wikipedia.org/wiki/Brian_Catling
British Marine Art (Romantic Era),expanded,https://en.wikipedia.org/wiki/British_Marine_Art_%28Romantic_Era%29
Broadwick Street,expanded,https://en.wikipedia.org/wiki/Broadwick_Street
Brock University,expanded,https://en.wikipedia.org/wiki/Brock_University
Bromion,expanded,https://en.wikipedia.org/wiki/Bromion
Brothers Grimm,expanded,https://en.wikipedia.org/wiki/Brothers_Grimm
Bruce Dickinson,expanded,https://en.wikipedia.org/wiki/Bruce_Dickinson
Bruce Kuklick,expanded,https://en.wikipedia.org/wiki/Bruce_Kuklick
Bruce McEwen,expanded,https://en.wikipedia.org/wiki/Bruce_McEwen
Bunhill Fields,expanded,https://en.wikipedia.org/wiki/Bunhill_Fields
Byronic hero,expanded,https://en.wikipedia.org/wiki/Byronic_hero
C. I. Lewis,expanded,https://en.wikipedia.org/wiki/C._I._Lewis
Cain and Abel,expanded,https://en.wikipedia.org/wiki/Cain_and_Abel
Calvin Perry Stone,expanded,https://en.wikipedia.org/wiki/Calvin_Perry_Stone
Cambridge,expanded,https://en.wikipedia.org/wiki/Cambridge
Cambridge University Press,expanded,https://en.wikipedia.org/wiki/Cambridge_University_Press
"Cambridge, Massachusetts",expanded,https://en.wikipedia.org/wiki/Cambridge%2C_Massachusetts
Camera lucida,expanded,https://en.wikipedia.org/wiki/Camera_lucida
Camera obscura,expanded,https://en.wikipedia.org/wiki/Camera_obscura
Camille Saint-Saëns,expanded,https://en.wikipedia.org/wiki/Camille_Saint-Sa%C3%ABns
Camilo Castelo Branco,expanded,https://en.wikipedia.org/wiki/Camilo_Castelo_Branco
Canto,expanded,https://en.wikipedia.org/wiki/Canto
Carl Czerny,expanded,https://en.wikipedia.org/wiki/Carl_Czerny
Carl Dahlhaus,expanded,https://en.wikipedia.org/wiki/Carl_Dahlhaus
Carl Jung,expanded,https://en.wikipedia.org/wiki/Carl_Jung
Carl Lange (physician),expanded,https://en.wikipedia.org/wiki/Carl_Lange_%28physician%29
Carl Loewe,expanded,https://en.wikipedia.org/wiki/Carl_Loewe
Carl Maria von Weber,expanded,https://en.wikipedia.org/wiki/Carl_Maria_von_Weber
Carl Rogers,expanded,https://en.wikipedia.org/wiki/Carl_Rogers
Carl Seashore,expanded,https://en.wikipedia.org/wiki/Carl_Seashore
Carlo Séquin,expanded,https://en.wikipedia.org/wiki/Carlo_S%C3%A9quin
Carol D. Goodheart,expanded,https://en.wikipedia.org/wiki/Carol_D._Goodheart
Case study,expanded,https://en.wikipedia.org/wiki/Case_study
Cash value,expanded,https://en.wikipedia.org/wiki/Cash_value
Casimiro de Abreu,expanded,https://en.wikipedia.org/wiki/Casimiro_de_Abreu
Caspar David Friedrich,expanded,https://en.wikipedia.org/wiki/Caspar_David_Friedrich
Castro Alves,expanded,https://en.wikipedia.org/wiki/Castro_Alves
Catenary,expanded,https://en.wikipedia.org/wiki/Catenary
Cathedral of Saint Mary of the Assumption (San Francisco),expanded,https://en.wikipedia.org/wiki/Cathedral_of_Saint_Mary_of_the_Assumption_%28San_Francisco%29
Catherine Blake,expanded,https://en.wikipedia.org/wiki/Catherine_Blake
Catholic Church,expanded,https://en.wikipedia.org/wiki/Catholic_Church
Celtic knot,expanded,https://en.wikipedia.org/wiki/Celtic_knot
Center for the Study of Language and Information,expanded,https://en.wikipedia.org/wiki/Center_for_the_Study_of_Language_and_Information
Chance (philosophy),expanded,https://en.wikipedia.org/wiki/Chance_%28philosophy%29
Charing Cross,expanded,https://en.wikipedia.org/wiki/Charing_Cross
Charles Baudelaire,expanded,https://en.wikipedia.org/wiki/Charles_Baudelaire
Charles Dickens,expanded,https://en.wikipedia.org/wiki/Charles_Dickens
Charles E. Osgood,expanded,https://en.wikipedia.org/wiki/Charles_E._Osgood
Charles Hartshorne,expanded,https://en.wikipedia.org/wiki/Charles_Hartshorne
Charles Hubbard Judd,expanded,https://en.wikipedia.org/wiki/Charles_Hubbard_Judd
Charles Jencks,expanded,https://en.wikipedia.org/wiki/Charles_Jencks
Charles Lamb,expanded,https://en.wikipedia.org/wiki/Charles_Lamb
Charles Maturin,expanded,https://en.wikipedia.org/wiki/Charles_Maturin
Charles Nodier,expanded,https://en.wikipedia.org/wiki/Charles_Nodier
Charles Owen Perry,expanded,https://en.wikipedia.org/wiki/Charles_Owen_Perry
Charles Renouvier,expanded,https://en.wikipedia.org/wiki/Charles_Renouvier
Charles Rosen,expanded,https://en.wikipedia.org/wiki/Charles_Rosen
Charles Sanders Peirce,expanded,https://en.wikipedia.org/wiki/Charles_Sanders_Peirce
Charles Spielberger,expanded,https://en.wikipedia.org/wiki/Charles_Spielberger
Charles-Valentin Alkan,expanded,https://en.wikipedia.org/wiki/Charles-Valentin_Alkan
Charlotte Brontë,expanded,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB
Chauncey Wright,expanded,https://en.wikipedia.org/wiki/Chauncey_Wright
Chichester,expanded,https://en.wikipedia.org/wiki/Chichester
Chloral hydrate,expanded,https://en.wikipedia.org/wiki/Chloral_hydrate
"Chocorua, New Hampshire",expanded,https://en.wikipedia.org/wiki/Chocorua%2C_New_Hampshire
Choice,expanded,https://en.wikipedia.org/wiki/Choice
Christian existentialism,expanded,https://en.wikipedia.org/wiki/Christian_existentialism
Christian humanism,expanded,https://en.wikipedia.org/wiki/Christian_humanism
Christian teaching about the Devil,expanded,https://en.wikipedia.org/wiki/Christian_teaching_about_the_Devil
Christological argument,expanded,https://en.wikipedia.org/wiki/Christological_argument
Christopher Ricks,expanded,https://en.wikipedia.org/wiki/Christopher_Ricks
Church of England,expanded,https://en.wikipedia.org/wiki/Church_of_England
Circle Limit III,expanded,https://en.wikipedia.org/wiki/Circle_Limit_III
City of Westminster,expanded,https://en.wikipedia.org/wiki/City_of_Westminster
Clara Schumann,expanded,https://en.wikipedia.org/wiki/Clara_Schumann
Clark L. Hull,expanded,https://en.wikipedia.org/wiki/Clark_L._Hull
Classical Greece,expanded,https://en.wikipedia.org/wiki/Classical_Greece
Classicism,expanded,https://en.wikipedia.org/wiki/Classicism
